region,date,solidarite
Auvergne,2013m1,.26295665
Auvergne,2013m2,-.40747195
Auvergne,2013m3,-.18859994
Auvergne,2013m4,-.26559013
Auvergne,2013m5,.03002654
Auvergne,2013m6,-.11167699
Auvergne,2013m7,-.88976383
Auvergne,2013m8,-1.1562688
Auvergne,2013m9,-.19084324
Auvergne,2013m10,.14268367
Auvergne,2013m11,.049200069
Auvergne,2013m12,-.3787978
Auvergne,2014m1,.093974277
Auvergne,2014m2,.21310605
Auvergne,2014m3,.1849732
Auvergne,2014m4,.43630946
Auvergne,2014m5,-.049360089
Auvergne,2014m6,-.20655127
Auvergne,2014m7,-.97776771
Auvergne,2014m8,-.55079007
Auvergne,2014m9,.35129246
Auvergne,2014m10,.0069897282
Auvergne,2014m11,-.015642222
Auvergne,2014m12,-.42395753
Auvergne,2015m1,.68905866
Auvergne,2015m2,.065650545
Auvergne,2015m3,.64164436
Auvergne,2015m4,.22436588
Auvergne,2015m5,.30275655
Auvergne,2015m6,-.21355079
Auvergne,2015m7,-.9232018
Auvergne,2015m8,-.40656188
Auvergne,2015m9,.53576112
Auvergne,2015m10,.61589283
Auvergne,2015m11,.62511539
Auvergne,2015m12,-.02361829
Auvergne,2016m1,.78269249
Auvergne,2016m2,-.051796619
Auvergne,2016m3,.24150218
Auvergne,2016m4,.36590731
Auvergne,2016m5,.18725479
Auvergne,2016m6,-.19873439
Auvergne,2016m7,-.39069584
Auvergne,2016m8,-.23905925
Auvergne,2016m9,.27872887
Auvergne,2016m10,-.032849338
Auvergne,2016m11,.36253887
Auvergne,2016m12,-.44590804
Auvergne,2017m1,.15283945
Auvergne,2017m2,.75333905
Auvergne,2017m3,.21433912
