date,swb_learn
2008m1,-1.762369
2008m2,-.7041652
2008m3,.1390682
2008m4,.6507959
2008m5,.8491474
2008m6,.6103181
2008m7,.2188441
2008m8,.1545117
2008m9,.2407661
2008m10,.0456144
2008m11,-.2994687
2008m12,-1.097022
2009m1,-1.30302
2009m2,-.8022664
2009m3,.0816845
2009m4,.878265
2009m5,1.328774
2009m6,1.225788
2009m7,1.212641
2009m8,1.278527
2009m9,1.391007
2009m10,1.399775
2009m11,1.563606
2009m12,1.555935
2010m1,1.613506
2010m2,2.070868
2010m3,2.720474
2010m4,3.133954
2010m5,3.211762
2010m6,2.906086
2010m7,2.505994
2010m8,2.071557
2010m9,1.756752
2010m10,1.459877
2010m11,1.202553
2010m12,1.156497
2011m1,1.142197
2011m2,1.261949
2011m3,1.518432
2011m4,1.875988
2011m5,2.135715
2011m6,2.230948
2011m7,2.238082
2011m8,2.056706
2011m9,2.021526
2011m10,1.867928
2011m11,1.41877
2011m12,1.051993
2012m1,.8529038
2012m2,.9559283
2012m3,1.303258
2012m4,1.472737
2012m5,1.472337
2012m6,1.398267
2012m7,1.515247
2012m8,1.551768
2012m9,1.56106
2012m10,1.496082
2012m11,1.275117
2012m12,.9623811
2013m1,.694039
2013m2,.7337011
2013m3,1.065859
2013m4,1.512211
2013m5,1.758324
2013m6,1.72433
2013m7,1.588556
2013m8,1.449856
2013m9,1.538178
2013m10,1.434547
2013m11,1.032017
2013m12,.644189
2014m1,.3689384
2014m2,.5012367
2014m3,.7932389
2014m4,1.102207
2014m5,1.336453
2014m6,1.565742
2014m7,1.597065
2014m8,1.436368
2014m9,1.173038
2014m10,.7687737
2014m11,.4300148
2014m12,.1781781
2015m1,-.0622179
2015m2,.1966784
2015m3,.7693281
2015m4,1.272401
2015m5,1.497989
2015m6,1.415289
2015m7,1.189643
2015m8,.9125771
2015m9,.7299069
2015m10,.4954886
2015m11,.2349374
2015m12,-.02465
2016m1,-.1679677
2016m2,-.1328719
2016m3,.0185241
2016m4,.1476269
