date,cat_healthy_habits
2011m1,.8990799
2011m2,.6031741
2011m3,.359944
2011m4,.6936361
2011m5,.8626644
2011m6,.8431692
2011m7,.6398302
2011m8,.4577943
2011m9,.2272801
2011m10,-.2944433
2011m11,-.374529
2011m12,-.2661234
2012m1,.2136666
2012m2,.5394948
2012m3,.6140215
2012m4,.2330021
2012m5,-.1773573
2012m6,-.3498273
2012m7,-.4499056
2012m8,-.4842707
2012m9,-.5043837
2012m10,-.4157346
2012m11,-.1893263
2012m12,.3508765
2013m1,1.121107
2013m2,1.234509
2013m3,1.06557
2013m4,.8430036
2013m5,.4246081
2013m6,-.0078999
2013m7,-.3825178
2013m8,-1.016591
2013m9,-1.131087
2013m10,-1.008397
2013m11,-.7875511
2013m12,-.5411923
2014m1,-.2294263
2014m2,-.1484172
2014m3,-.2378439
2014m4,-.4087469
2014m5,-.618691
2014m6,-.559115
2014m7,-.4657761
2014m8,-.6538513
2014m9,-.6370727
2014m10,-.5169015
2014m11,-.4283141
2014m12,-.4434774
2015m1,-.0395117
2015m2,.1980823
2015m3,.0623002
2015m4,-.1355826
2015m5,-.3051149
2015m6,-.0159759
2015m7,-.3245108
2015m8,-.6207874
2015m9,-.6976701
2015m10,-.7083598
2015m11,-.6988026
2015m12,-.3516425
2016m1,.4923114
2016m2,.9372969
2016m3,1.344711
2016m4,2.365597
