date,cat_health_conditions
2011m1,-.846283
2011m2,-.3343951
2011m3,-.2146854
2011m4,-.4293137
2011m5,-.667558
2011m6,-.7507161
2011m7,-.7019256
2011m8,-.1937905
2011m9,.5101817
2011m10,.7662925
2011m11,.6300052
2011m12,.2918853
2012m1,.4895784
2012m2,1.015202
2012m3,1.331293
2012m4,1.191965
2012m5,.2347757
2012m6,-.5733981
2012m7,-.8483031
2012m8,-.5180047
2012m9,-.0381203
2012m10,.1060049
2012m11,-.2128305
2012m12,-.4370673
2013m1,-.1487466
2013m2,.204244
2013m3,.4367533
2013m4,.5122283
2013m5,.0982282
2013m6,-.2724784
2013m7,-.4437093
2013m8,-.1427234
2013m9,.1206077
2013m10,-.0037551
2013m11,-.5141051
2013m12,-1.039702
2014m1,-1.024081
2014m2,-.4091381
2014m3,-.194961
2014m4,-.4791307
2014m5,-1.124721
2014m6,-1.39273
2014m7,-1.158213
2014m8,-.5711986
2014m9,.1815114
2014m10,.59515
2014m11,.347054
2014m12,-.2546488
2015m1,-.4015903
2015m2,.0774559
2015m3,.5286585
2015m4,.5213878
2015m5,.0145008
2015m6,-.2836633
2015m7,-.1686646
2015m8,.3592423
2015m9,1.08613
2015m10,1.325143
2015m11,.9068236
2015m12,.3898851
2016m1,.4078623
2016m2,.7782999
2016m3,.7346535
2016m4,.6013485
