date,cat_social_progress
2011m1,-.3237384
2011m2,-.1206269
2011m3,-.053341
2011m4,-.1240198
2011m5,-.5428585
2011m6,-1.143882
2011m7,-1.40183
2011m8,-1.186701
2011m9,-.69912
2011m10,-.5240921
2011m11,-.6586034
2011m12,-.8636265
2012m1,-.7444
2012m2,-.4927249
2012m3,-.4276428
2012m4,-.495364
2012m5,-.849613
2012m6,-1.283839
2012m7,-1.484346
2012m8,-1.171941
2012m9,-.5429044
2012m10,-.2042758
2012m11,-.1651627
2012m12,-.2819806
2013m1,-.1915017
2013m2,.0378631
2013m3,.0210181
2013m4,-.1871493
2013m5,-.6602572
2013m6,-1.095356
2013m7,-1.074705
2013m8,-.6428772
2013m9,-.0248273
2013m10,.2291971
2013m11,.1837837
2013m12,.0119318
2014m1,.1256794
2014m2,.4671518
2014m3,.7063977
2014m4,.5935335
2014m5,.1611958
2014m6,-.3789005
2014m7,-.5694207
2014m8,-.1445606
2014m9,.7972133
2014m10,1.3166
2014m11,1.245416
2014m12,.9309805
2015m1,.924256
2015m2,1.216983
2015m3,1.546884
2015m4,1.423205
2015m5,.8059257
2015m6,.0586878
2015m7,-.2904013
2015m8,.0870205
2015m9,.8203987
2015m10,1.220423
2015m11,1.118058
2015m12,.7609303
2016m1,.7997945
2016m2,1.107317
2016m3,1.204187
2016m4,1.124558
