date,cat_education
2011m1,.9324043
2011m2,.8602235
2011m3,.7526287
2011m4,.4948933
2011m5,.0596774
2011m6,-.4191913
2011m7,-.5787915
2011m8,-.1048894
2011m9,.6988113
2011m10,.9300568
2011m11,.6105171
2011m12,.2434374
2012m1,.28468
2012m2,.4353797
2012m3,.4225327
2012m4,.1962102
2012m5,-.2252484
2012m6,-.6357274
2012m7,-.7586857
2012m8,-.3431659
2012m9,.2044133
2012m10,.0801424
2012m11,-.6720084
2012m12,-1.541958
2013m1,-1.405195
2013m2,-.6975112
2013m3,-.284752
2013m4,-.2513534
2013m5,-.6004252
2013m6,-1.036654
2013m7,-1.146133
2013m8,-.6492718
2013m9,.1886052
2013m10,.5220417
2013m11,.3369894
2013m12,-.0366584
2014m1,-.1206595
2014m2,-.0792182
2014m3,-.1437487
2014m4,-.4377309
2014m5,-.9673887
2014m6,-1.254011
2014m7,-1.072982
2014m8,-.2637676
2014m9,.8168324
2014m10,1.13792
2014m11,.8581091
2014m12,.5326784
2015m1,.5230615
2015m2,.669131
2015m3,.6729723
2015m4,.4367832
2015m5,-.1155792
2015m6,-.6939714
2015m7,-.8988983
2015m8,-.3872366
2015m9,.5559838
2015m10,.8684162
2015m11,.5758559
2015m12,.1696084
2016m1,.0615919
2016m2,.2124271
2016m3,.5001943
2016m4,.977602
