date,cat_family_stress
2008m1,-.8336656
2008m2,-1.309955
2008m3,-1.207496
2008m4,-.5762555
2008m5,-.1146271
2008m6,.2271581
2008m7,.3608442
2008m8,.4853059
2008m9,.0361363
2008m10,-.5338868
2008m11,-.9431342
2008m12,-1.049203
2009m1,-.6797335
2009m2,-.1343269
2009m3,.2280654
2009m4,.4676599
2009m5,.6312288
2009m6,.7652872
2009m7,.7274319
2009m8,.4923958
2009m9,.29391
2009m10,.1839507
2009m11,-.0160597
2009m12,.0969498
2010m1,.5850668
2010m2,.8600153
2010m3,1.272827
2010m4,1.434958
2010m5,1.779924
2010m6,2.356755
2010m7,2.397543
2010m8,2.016037
2010m9,1.15951
2010m10,.4427402
2010m11,-.0406861
2010m12,-.3321296
2011m1,-.350138
2011m2,-.3877201
2011m3,-.2704648
2011m4,.1002422
2011m5,.7295766
2011m6,1.309018
2011m7,1.470156
2011m8,1.166112
2011m9,.3845972
2011m10,-.3737694
2011m11,-.8830048
2011m12,-.8275243
2012m1,-.3341789
2012m2,-.1530404
2012m3,.0313687
2012m4,.1214913
2012m5,.2078509
2012m6,.4894086
2012m7,.7741318
2012m8,.6540924
2012m9,.0978586
2012m10,-.5841913
2012m11,-1.208711
2012m12,-1.315112
2013m1,-.9326348
2013m2,-.77685
2013m3,-.5686594
2013m4,-.2383161
2013m5,.0223508
2013m6,.1113797
2013m7,.1483074
2013m8,-.0426962
2013m9,-.368761
2013m10,-.6741488
2013m11,-1.031327
2013m12,-1.222451
2014m1,-.8826299
2014m2,-.5437257
2014m3,-.3910578
2014m4,-.2415024
2014m5,.0258846
2014m6,.3486302
2014m7,.4890399
2014m8,.3060887
2014m9,-.1516923
2014m10,-.7540916
2014m11,-1.318931
2014m12,-1.417521
2015m1,-1.117511
2015m2,-.8738554
2015m3,-.5659586
2015m4,-.2406259
2015m5,.2043914
2015m6,.7370229
2015m7,1.054452
2015m8,.9583826
2015m9,.3417778
2015m10,-.2715449
2015m11,-.7101021
2015m12,-.5899149
2016m1,-.2004856
2016m2,-.1586335
2016m3,-.2901517
2016m4,-.5505193
