date,cat_family
2008m1,-1.848882
2008m2,-1.762058
2008m3,-1.764996
2008m4,-1.910809
2008m5,-2.044885
2008m6,-1.981239
2008m7,-1.670337
2008m8,-1.129974
2008m9,-.9179826
2008m10,-.9952872
2008m11,-1.241584
2008m12,-1.401352
2009m1,-1.429205
2009m2,-1.332672
2009m3,-1.254051
2009m4,-1.180213
2009m5,-1.183635
2009m6,-1.220425
2009m7,-1.064203
2009m8,-.6001591
2009m9,.1439792
2009m10,1.052061
2009m11,1.392986
2009m12,1.419385
2010m1,1.199371
2010m2,.8646219
2010m3,.6191121
2010m4,.5970368
2010m5,.5858223
2010m6,.589376
2010m7,.9054123
2010m8,1.288473
2010m9,1.579218
2010m10,1.592374
2010m11,1.298552
2010m12,.7811304
2011m1,.2779397
2011m2,-.0430854
2011m3,-.0814498
2011m4,.0471066
2011m5,.1502827
2011m6,.2337581
2011m7,.5727463
2011m8,1.044991
2011m9,1.507078
2011m10,1.734076
2011m11,1.527921
2011m12,1.021145
2012m1,.5156866
2012m2,.2650292
2012m3,.2555663
2012m4,.3933286
2012m5,.4011599
2012m6,.3674683
2012m7,.550315
2012m8,.8972765
2012m9,1.284895
2012m10,1.412076
2012m11,1.204121
2012m12,.8870029
2013m1,.5627536
2013m2,.356687
2013m3,.3322379
2013m4,.3571569
2013m5,.190907
2013m6,.0164461
2013m7,.0905939
2013m8,.4116536
2013m9,.7761774
2013m10,.9645879
2013m11,.7696486
2013m12,.3845351
2014m1,.0316976
2014m2,-.272719
2014m3,-.4958108
2014m4,-.612873
2014m5,-.6961694
2014m6,-.6435802
2014m7,-.4243113
2014m8,-.1921041
2014m9,-.0065932
2014m10,.0290713
2014m11,-.0513436
2014m12,-.1497082
2015m1,-.256097
2015m2,-.2933464
2015m3,-.3407271
2015m4,-.4008009
2015m5,-.5670112
2015m6,-.5600657
2015m7,-.3111845
2015m8,-.0103713
2015m9,.0751482
2015m10,-.1022476
2015m11,-.3967626
2015m12,-.6378867
2016m1,-.7487873
2016m2,-.7697089
2016m3,-.6067812
2016m4,-.2037092
