region,date,christianisme
Languedoc-Roussillon,2013m1,-.62966478
Languedoc-Roussillon,2013m2,-.35989428
Languedoc-Roussillon,2013m3,.16715197
Languedoc-Roussillon,2013m4,-.86956775
Languedoc-Roussillon,2013m5,-.82039839
Languedoc-Roussillon,2013m6,-1.5414301
Languedoc-Roussillon,2013m7,-1.3069068
Languedoc-Roussillon,2013m8,-.50215429
Languedoc-Roussillon,2013m9,-1.119639
Languedoc-Roussillon,2013m10,-.91798234
Languedoc-Roussillon,2013m11,-.880476
Languedoc-Roussillon,2013m12,1.1359261
Languedoc-Roussillon,2014m1,.72931033
Languedoc-Roussillon,2014m2,-.49312207
Languedoc-Roussillon,2014m3,-.35116586
Languedoc-Roussillon,2014m4,.97433317
Languedoc-Roussillon,2014m5,-.58621657
Languedoc-Roussillon,2014m6,-.84008342
Languedoc-Roussillon,2014m7,-.27241349
Languedoc-Roussillon,2014m8,.29749116
Languedoc-Roussillon,2014m9,-1.3347507
Languedoc-Roussillon,2014m10,.18239468
Languedoc-Roussillon,2014m11,-.025639724
Languedoc-Roussillon,2014m12,3.1799145
Languedoc-Roussillon,2015m1,1.0341051
Languedoc-Roussillon,2015m2,-.15729654
Languedoc-Roussillon,2015m3,.15432152
Languedoc-Roussillon,2015m4,.21481122
Languedoc-Roussillon,2015m5,.21895981
Languedoc-Roussillon,2015m6,-.35895801
Languedoc-Roussillon,2015m7,-.069815055
Languedoc-Roussillon,2015m8,-.4327051
Languedoc-Roussillon,2015m9,.16598278
Languedoc-Roussillon,2015m10,.37989533
Languedoc-Roussillon,2015m11,.40347266
Languedoc-Roussillon,2015m12,2.6525431
Languedoc-Roussillon,2016m1,.082337424
Languedoc-Roussillon,2016m2,-.48734164
Languedoc-Roussillon,2016m3,-.0027222186
Languedoc-Roussillon,2016m4,.23047881
Languedoc-Roussillon,2016m5,.49553943
Languedoc-Roussillon,2016m6,-.52761364
Languedoc-Roussillon,2016m7,-.36978507
Languedoc-Roussillon,2016m8,-.31235358
Languedoc-Roussillon,2016m9,-.13315059
Languedoc-Roussillon,2016m10,-.0099982172
Languedoc-Roussillon,2016m11,-.4854241
Languedoc-Roussillon,2016m12,1.3250136
Languedoc-Roussillon,2017m1,.50075972
Languedoc-Roussillon,2017m2,.83277065
Languedoc-Roussillon,2017m3,1.9847238
