date,cat_housing
2008m1,1.327933
2008m2,1.091022
2008m3,.816512
2008m4,.3789939
2008m5,.0283803
2008m6,-.3041095
2008m7,-.6319305
2008m8,-.8367524
2008m9,-.8662668
2008m10,-.751464
2008m11,-.0731886
2008m12,1.278335
2009m1,1.915103
2009m2,2.051281
2009m3,2.054882
2009m4,1.606333
2009m5,1.019623
2009m6,.51183
2009m7,.027732
2009m8,-.2842364
2009m9,-.0524384
2009m10,.455983
2009m11,.7300002
2009m12,.7806933
2010m1,.9315063
2010m2,1.124337
2010m3,1.195259
2010m4,1.27336
2010m5,1.511554
2010m6,1.895073
2010m7,1.919254
2010m8,1.701155
2010m9,1.173621
2010m10,.8170277
2010m11,.4451342
2010m12,.1408487
2011m1,-.1157877
2011m2,-.1851969
2011m3,-.1452403
2011m4,-.1423077
2011m5,-.0966178
2011m6,.1912792
2011m7,.3536714
2011m8,.4115752
2011m9,.3045907
2011m10,-.000065
2011m11,-.2193114
2011m12,-.1854499
2012m1,-.0560675
2012m2,-.0936
2012m3,-.2479996
2012m4,-.1959544
2012m5,.0699122
2012m6,.4408421
2012m7,.4749581
2012m8,.1579514
2012m9,-.2192091
2012m10,-.5219938
2012m11,-.7287517
2012m12,-.6100619
2013m1,-.2051978
2013m2,.1247109
2013m3,.1660504
2013m4,.1224717
2013m5,.1757811
2013m6,.2842853
2013m7,.1175872
2013m8,-.3096685
2013m9,-.7827255
2013m10,-1.132395
2013m11,-1.234522
2013m12,-1.162959
2014m1,-.9796499
2014m2,-.9823236
2014m3,-.8979084
2014m4,-.7774575
2014m5,-.7477152
2014m6,-.7586114
2014m7,-.9515075
2014m8,-1.25828
2014m9,-1.469337
2014m10,-1.560541
2014m11,-1.445165
2014m12,-1.046277
2015m1,-.5577595
2015m2,-.2765566
2015m3,-.160176
2015m4,-.1990991
2015m5,-.4045768
2015m6,-.2637621
2015m7,-.2263763
2015m8,-.4241482
2015m9,-.8196598
2015m10,-1.189849
2015m11,-1.457064
2015m12,-1.268129
2016m1,-.7829378
2016m2,-.3675515
2016m3,-.0660732
2016m4,.1315289
