region,date,mal_etre
PACA,2013m1,-1.2476407
PACA,2013m2,-.39088589
PACA,2013m3,.13492963
PACA,2013m4,-.049998984
PACA,2013m5,.21408023
PACA,2013m6,-.21397197
PACA,2013m7,-2.4753938
PACA,2013m8,-2.4318924
PACA,2013m9,-1.3582665
PACA,2013m10,-.94510388
PACA,2013m11,-.37294111
PACA,2013m12,-.90976787
PACA,2014m1,-.7973938
PACA,2014m2,-.30010754
PACA,2014m3,.074648239
PACA,2014m4,-.20420197
PACA,2014m5,.67683077
PACA,2014m6,-.28685638
PACA,2014m7,-1.1245918
PACA,2014m8,-.39136544
PACA,2014m9,1.1752021
PACA,2014m10,.98371822
PACA,2014m11,.96109682
PACA,2014m12,.24627456
PACA,2015m1,-.12598842
PACA,2015m2,.26082647
PACA,2015m3,1.1553719
PACA,2015m4,.72319901
PACA,2015m5,.10740247
PACA,2015m6,-.4612301
PACA,2015m7,-.0663452
PACA,2015m8,-.37998629
PACA,2015m9,.1728605
PACA,2015m10,.1921566
PACA,2015m11,.55867016
PACA,2015m12,.69619924
PACA,2016m1,1.4152815
PACA,2016m2,1.0341136
PACA,2016m3,.86353475
PACA,2016m4,-.31742203
PACA,2016m5,-.21607165
PACA,2016m6,-.38957748
PACA,2016m7,-1.3633935
PACA,2016m8,-.30123666
PACA,2016m9,.9108032
PACA,2016m10,-.30610669
PACA,2016m11,1.0054059
PACA,2016m12,.17237788
PACA,2017m1,.18970901
PACA,2017m2,2.1291459
PACA,2017m3,2.5383165
