region,date,protectionnisme
Alsace,2013m1,.43499652
Alsace,2013m2,.40046981
Alsace,2013m3,.3709085
Alsace,2013m4,.29535267
Alsace,2013m5,-.32567751
Alsace,2013m6,-.30342212
Alsace,2013m7,-1.2267848
Alsace,2013m8,-.62918013
Alsace,2013m9,-.073686123
Alsace,2013m10,.91483641
Alsace,2013m11,.34981325
Alsace,2013m12,-.092755541
Alsace,2014m1,-.095445454
Alsace,2014m2,-.012015715
Alsace,2014m3,-.11055449
Alsace,2014m4,-.47213396
Alsace,2014m5,.14004451
Alsace,2014m6,-.46363804
Alsace,2014m7,-1.086342
Alsace,2014m8,-.94747984
Alsace,2014m9,.54916281
Alsace,2014m10,.74601436
Alsace,2014m11,.31576189
Alsace,2014m12,.13716052
Alsace,2015m1,.012453668
Alsace,2015m2,.46416539
Alsace,2015m3,.38559714
Alsace,2015m4,-.33159608
Alsace,2015m5,-.043216497
Alsace,2015m6,.087630801
Alsace,2015m7,-1.1497943
Alsace,2015m8,-.62046391
Alsace,2015m9,.24499035
Alsace,2015m10,.64672595
Alsace,2015m11,.27175742
Alsace,2015m12,-.00080413604
Alsace,2016m1,.19593842
Alsace,2016m2,.10162962
Alsace,2016m3,-.055222102
Alsace,2016m4,.059363589
Alsace,2016m5,.38329741
Alsace,2016m6,-.028840229
Alsace,2016m7,-.40332589
Alsace,2016m8,-.56252128
Alsace,2016m9,.61154205
Alsace,2016m10,.39554599
Alsace,2016m11,.90113908
Alsace,2016m12,-.04007582
Alsace,2017m1,.000088677552
Alsace,2017m2,-.14123584
Alsace,2017m3,.18697196
