date,cat_personal_security
2008m1,-.8704474
2008m2,-.8044618
2008m3,-.7369653
2008m4,-.7816525
2008m5,-.9930535
2008m6,-1.293873
2008m7,-1.477081
2008m8,-1.437601
2008m9,-1.048334
2008m10,-.5238442
2008m11,-.0176516
2008m12,.1253348
2009m1,.042241
2009m2,.2201269
2009m3,.3249645
2009m4,.2767027
2009m5,-.1129708
2009m6,-.6051252
2009m7,-.9075239
2009m8,-.905649
2009m9,-.5249081
2009m10,-.0625813
2009m11,.2781061
2009m12,.2834547
2010m1,.2969292
2010m2,.2539465
2010m3,.2148265
2010m4,.166536
2010m5,.0555241
2010m6,-.2899638
2010m7,-.5364816
2010m8,-.5720529
2010m9,-.3836046
2010m10,-.0675701
2010m11,.170952
2010m12,.1585229
2011m1,-.0455567
2011m2,-.1079514
2011m3,-.1996264
2011m4,-.2306304
2011m5,-.3080806
2011m6,-.5950185
2011m7,-.7229378
2011m8,-.6128477
2011m9,-.3122325
2011m10,-.2341546
2011m11,-.1503618
2011m12,-.1275873
2012m1,-.168017
2012m2,-.2303136
2012m3,-.3373163
2012m4,-.4231031
2012m5,-.4910739
2012m6,-.4209914
2012m7,-.2581834
2012m8,-.4028386
2012m9,-.3295339
2012m10,.2537748
2012m11,1.435004
2012m12,2.738129
2013m1,2.647677
2013m2,1.824967
2013m3,1.30599
2013m4,1.187503
2013m5,.5934261
2013m6,-.0333375
2013m7,-.4186991
2013m8,-.5856099
2013m9,-.5284328
2013m10,-.4060659
2013m11,-.3020779
2013m12,-.289235
2014m1,-.2893065
2014m2,-.246176
2014m3,-.2272496
2014m4,-.2814573
2014m5,-.3567611
2014m6,-.433035
2014m7,-.3801384
2014m8,-.135505
2014m9,.0794325
2014m10,.2130373
2014m11,.3000444
2014m12,.3077636
2015m1,.2261665
2015m2,-.0060138
2015m3,-.0386098
2015m4,-.0098603
2015m5,-.0547167
2015m6,-.0950748
2015m7,-.2256291
2015m8,-.2648357
2015m9,.126474
2015m10,1.096075
2015m11,2.232794
2015m12,2.400651
2016m1,1.767844
2016m2,1.258589
2016m3,1.202417
2016m4,1.203653
