date,cat_layoffs
2011m1,1.758999
2011m2,1.814223
2011m3,1.72239
2011m4,1.526708
2011m5,1.248245
2011m6,1.216622
2011m7,1.371468
2011m8,1.482945
2011m9,1.242497
2011m10,.8805336
2011m11,.5625092
2011m12,.4237445
2012m1,.3319195
2012m2,.2118376
2012m3,.0969133
2012m4,.3913642
2012m5,.8608501
2012m6,1.192613
2012m7,1.243401
2012m8,1.028614
2012m9,.9744627
2012m10,1.063553
2012m11,1.100968
2012m12,.8153803
2013m1,.494508
2013m2,-.0484022
2013m3,-.4616674
2013m4,-.6850411
2013m5,-.7095419
2013m6,-.7010146
2013m7,-.7152895
2013m8,-.5268484
2013m9,-.3644681
2013m10,-.3592177
2013m11,-.5196559
2013m12,-.2907409
2014m1,.2500659
2014m2,.5055531
2014m3,.3907284
2014m4,.1341272
2014m5,-.2902633
2014m6,-.6421942
2014m7,-.837284
2014m8,-.8699536
2014m9,-.7740039
2014m10,-.6416917
2014m11,-.7595801
2014m12,-.8182763
2015m1,-.8053324
2015m2,-.8144459
2015m3,-.9274827
2015m4,-1.054652
2015m5,-1.035115
2015m6,-.953355
2015m7,-1.001327
2015m8,-1.021049
2015m9,-.896834
2015m10,-.8560327
2015m11,-1.035571
2015m12,-1.166244
2016m1,-1.111143
2016m2,-.9846666
2016m3,-.8842499
2016m4,-.7751094
