date,cat_financial_security
2011m1,.9651788
2011m2,.5812479
2011m3,.286906
2011m4,.0999669
2011m5,-.1560998
2011m6,-.2448986
2011m7,-.3193056
2011m8,-.5385643
2011m9,-.8688253
2011m10,-1.108154
2011m11,-1.182486
2011m12,-.8566226
2012m1,-.2983075
2012m2,-.1326192
2012m3,-.2805425
2012m4,-.4608999
2012m5,-.6436118
2012m6,-.7550887
2012m7,-.9298787
2012m8,-1.039106
2012m9,-1.04492
2012m10,-1.117803
2012m11,-1.254756
2012m12,-.8922693
2013m1,-.0939417
2013m2,-.0027731
2013m3,-.4117226
2013m4,-.8107681
2013m5,-1.052491
2013m6,-1.05194
2013m7,-.8190678
2013m8,-.7684687
2013m9,-.7517141
2013m10,-.5728708
2013m11,-.5009527
2013m12,-.2086762
2014m1,.3468171
2014m2,.5183023
2014m3,.3872376
2014m4,.215971
2014m5,.072092
2014m6,.1461778
2014m7,.2160038
2014m8,.1745671
2014m9,.0958716
2014m10,.0739385
2014m11,.0916594
2014m12,.5125247
2015m1,1.250814
2015m2,1.610548
2015m3,1.645057
2015m4,1.478542
2015m5,1.233592
2015m6,1.098351
2015m7,.8329479
2015m8,.4337726
2015m9,.0867488
2015m10,-.0487084
2015m11,-.0709244
2015m12,.2076401
2016m1,.8806804
2016m2,1.395631
2016m3,1.892457
2016m4,2.458533
