date,swb_anger
2011m1,-1.401115
2011m2,-.7304769
2011m3,.0805607
2011m4,.3824201
2011m5,.1743336
2011m6,-.190267
2011m7,-.2916615
2011m8,.2700459
2011m9,.6299189
2011m10,.5404234
2011m11,.6136993
2011m12,.6260231
2012m1,.3977796
2012m2,.3785339
2012m3,.5289999
2012m4,.6830084
2012m5,.5860974
2012m6,.1796404
2012m7,-.1174075
2012m8,.2698322
2012m9,.8874768
2012m10,.7831006
2012m11,.3754694
2012m12,-.0111047
2013m1,-.1199648
2013m2,-.0111513
2013m3,.383662
2013m4,.6400966
2013m5,.8355493
2013m6,.96341
2013m7,1.236647
2013m8,1.579527
2013m9,1.848868
2013m10,1.445066
2013m11,.8735196
2013m12,.6022477
2014m1,.4940596
2014m2,.6849703
2014m3,.9030328
2014m4,1.028402
2014m5,1.081645
2014m6,1.032173
2014m7,1.145056
2014m8,1.551945
2014m9,2.235471
2014m10,2.198737
2014m11,1.553235
2014m12,.5636616
2015m1,-.0011111
2015m2,-.2932051
2015m3,-.4952849
2015m4,-.2037545
2015m5,.1531836
2015m6,.3679163
2015m7,.8631545
2015m8,1.600766
2015m9,1.8938
2015m10,1.513661
2015m11,.7939026
2015m12,.3517073
2016m1,.1769321
2016m2,.1315162
2016m3,.2310536
2016m4,-.0583564
