date,cat_spirituality
2008m1,.6008231
2008m2,.3955785
2008m3,.2564019
2008m4,.052382
2008m5,-.4673747
2008m6,-.8401145
2008m7,-1.067663
2008m8,-.9012564
2008m9,-.27252
2008m10,.2012925
2008m11,-.0143951
2008m12,-.2749155
2009m1,-.3241009
2009m2,.0158436
2009m3,.1809293
2009m4,.1722173
2009m5,-.5258207
2009m6,-.9931479
2009m7,-.9089583
2009m8,-.1980782
2009m9,.8962155
2009m10,1.686887
2009m11,1.714066
2009m12,1.401802
2010m1,1.313808
2010m2,1.584395
2010m3,1.932344
2010m4,2.073453
2010m5,1.498245
2010m6,.9738078
2010m7,.7398647
2010m8,1.124749
2010m9,1.77492
2010m10,1.825818
2010m11,1.420325
2010m12,.9644783
2011m1,.4094475
2011m2,.1626306
2011m3,.0102562
2011m4,-.1199808
2011m5,-.3958942
2011m6,-.6366708
2011m7,-.7276484
2011m8,-.5433087
2011m9,-.0172573
2011m10,.3002943
2011m11,.2930426
2011m12,.0913045
2012m1,.1891317
2012m2,.3739716
2012m3,.3123389
2012m4,.1502145
2012m5,-.3151844
2012m6,-.6339297
2012m7,-.622622
2012m8,-.3332557
2012m9,.0692001
2012m10,.1255929
2012m11,-.2515682
2012m12,-.5361892
2013m1,-.4796142
2013m2,-.2340585
2013m3,-.186759
2013m4,-.3260037
2013m5,-.7774115
2013m6,-1.17828
2013m7,-1.340866
2013m8,-1.02528
2013m9,-.3645142
2013m10,-.0261806
2013m11,-.1126578
2013m12,-.3941746
2014m1,-.48809
2014m2,-.2795261
2014m3,-.1542266
2014m4,-.4278361
2014m5,-.9729382
2014m6,-1.256894
2014m7,-1.188128
2014m8,-.7703472
2014m9,-.2404252
2014m10,.0331675
2014m11,-.057018
2014m12,-.2159145
2015m1,-.2371856
2015m2,.0484618
2015m3,.1912075
2015m4,-.0371396
2015m5,-.6405082
2015m6,-1.028376
2015m7,-1.011404
2015m8,-.4647644
2015m9,.1685665
2015m10,.3999051
2015m11,.1792894
2015m12,-.2096322
2016m1,-.3358698
2016m2,-.1948061
2016m3,.0177557
2016m4,.2522621
