date,cat_financial_security
2008m1,-.2245015
2008m2,-.6740265
2008m3,-.7426545
2008m4,-.8022177
2008m5,-.8625526
2008m6,-.8746552
2008m7,-.733108
2008m8,-.5833865
2008m9,-.2593096
2008m10,.058721
2008m11,-.172678
2008m12,-.522056
2009m1,-.6011828
2009m2,-.5956928
2009m3,-.6407809
2009m4,-.7608882
2009m5,-.7621358
2009m6,-.562425
2009m7,-.4098532
2009m8,-.2572421
2009m9,.0282329
2009m10,.6130815
2009m11,1.080061
2009m12,1.495849
2010m1,1.894728
2010m2,1.899821
2010m3,2.028674
2010m4,2.109628
2010m5,2.210609
2010m6,2.452788
2010m7,2.375204
2010m8,2.078912
2010m9,1.522527
2010m10,1.122068
2010m11,1.131305
2010m12,1.06751
2011m1,.5648761
2011m2,-.1729572
2011m3,-.6241826
2011m4,-.717537
2011m5,-.6112191
2011m6,-.2766005
2011m7,-.1118099
2011m8,-.5227173
2011m9,-1.063437
2011m10,-1.301093
2011m11,-1.255356
2011m12,-.9134451
2012m1,-.435676
2012m2,-.2357026
2012m3,-.2898938
2012m4,-.469197
2012m5,-.6600089
2012m6,-.7682363
2012m7,-.723821
2012m8,-.7469627
2012m9,-.8900435
2012m10,-.8456529
2012m11,-.6749861
2012m12,-.2993975
2013m1,.1634231
2013m2,.176996
2013m3,.0477246
2013m4,-.134893
2013m5,-.3477499
2013m6,-.4865605
2013m7,-.604705
2013m8,-.784456
2013m9,-.624392
2013m10,-.4081204
2013m11,-.4023747
2013m12,-.4897363
2014m1,-.4211906
2014m2,-.5229512
2014m3,-.6066499
2014m4,-.486941
2014m5,-.2500416
2014m6,.2359293
2014m7,.5262378
2014m8,.3386917
2014m9,.0550975
2014m10,-.1312632
2014m11,-.2032172
2014m12,.0505497
2015m1,.4613767
2015m2,.6675977
2015m3,.6118942
2015m4,.4273814
2015m5,.3144414
2015m6,.3720711
2015m7,.2553114
2015m8,-.0879952
2015m9,-.4657529
2015m10,-.5233028
2015m11,-.432923
2015m12,-.0158729
2016m1,.5321211
2016m2,.7606685
2016m3,1.021517
2016m4,1.328745
