date,cat_housing
2011m1,.2303207
2011m2,-.1120432
2011m3,-.166386
2011m4,.0224318
2011m5,.3975081
2011m6,.7710806
2011m7,1.128515
2011m8,1.450623
2011m9,1.440839
2011m10,1.224219
2011m11,.5569714
2011m12,.0185674
2012m1,.0431778
2012m2,.2113032
2012m3,.4589046
2012m4,.8854038
2012m5,1.521954
2012m6,2.128289
2012m7,2.191425
2012m8,1.692478
2012m9,1.075399
2012m10,.6359755
2012m11,.2492211
2012m12,.1840335
2013m1,.4188175
2013m2,.465781
2013m3,.4616568
2013m4,.5517422
2013m5,.7427129
2013m6,.9288498
2013m7,.6146237
2013m8,-.0038917
2013m9,-.6037171
2013m10,-1.013543
2013m11,-1.241546
2013m12,-1.212488
2014m1,-.9805661
2014m2,-.8140842
2014m3,-.7242364
2014m4,-.7300071
2014m5,-.7820987
2014m6,-.7498683
2014m7,-.7828611
2014m8,-.9480602
2014m9,-1.083089
2014m10,-1.206634
2014m11,-1.298456
2014m12,-1.055044
2015m1,-.5228857
2015m2,-.1558238
2015m3,-.0324664
2015m4,-.0316196
2015m5,-.025255
2015m6,.0413549
2015m7,-.0863608
2015m8,-.4665864
2015m9,-.8861761
2015m10,-1.22197
2015m11,-1.396477
2015m12,-1.288781
2016m1,-.9114353
2016m2,-.5100605
2016m3,-.1174111
2016m4,.4177505
