region,date,family1
Centre,2013m1,-.2327286005020142
Centre,2013m2,-.321729987859726
Centre,2013m3,-.1804527441660563
Centre,2013m4,.1338748931884766
Centre,2013m5,-.3893901705741882
Centre,2013m6,-.5449106891949972
Centre,2013m7,-.3511487940947215
Centre,2013m8,.3928764909505844
Centre,2013m9,.0763222333043814
Centre,2013m10,-.241656353076299
Centre,2013m11,-.9245667358239492
Centre,2013m12,-.9156192243099213
Centre,2014m1,-.463622393940265
Centre,2014m2,-.5247218906879425
Centre,2014m3,-.3266343995928764
Centre,2014m4,-.4516014208396276
Centre,2014m5,.0546176433563232
Centre,2014m6,.1251037642359734
Centre,2014m7,.1682740102211634
Centre,2014m8,.6496110161145529
Centre,2014m9,.3593568454186122
Centre,2014m10,-.8418017625808716
Centre,2014m11,-.6777435143788656
Centre,2014m12,-1.127574538191159
Centre,2015m1,-.6969906141360601
Centre,2015m2,.4400909940401713
Centre,2015m3,-.058535893758138
Centre,2015m4,-.0029771973689397
Centre,2015m5,.2943445841471354
Centre,2015m6,.3179192245006561
Centre,2015m7,.5363263289133707
Centre,2015m8,.4516315658887227
Centre,2015m9,.4335155387719472
Centre,2015m10,.104697972536087
Centre,2015m11,-.5226253867149353
Centre,2015m12,-1.158850103616714
Centre,2016m1,.1925290152430534
Centre,2016m2,.5152210295200348
Centre,2016m3,.7109365860621134
Centre,2016m4,.4485956678787867
Centre,2016m5,.5565226674079895
Centre,2016m6,
