date,cat_personal_security
2008m1,-.9790053
2008m2,-.6461841
2008m3,-.3893787
2008m4,-.3633763
2008m5,-.6734092
2008m6,-1.144083
2008m7,-1.361476
2008m8,-1.152873
2008m9,-.6185775
2008m10,-.2552359
2008m11,.1775715
2008m12,.2193102
2009m1,.0982217
2009m2,.3678179
2009m3,.4636717
2009m4,.3733296
2009m5,.0432967
2009m6,-.1918207
2009m7,-.331148
2009m8,-.3532887
2009m9,-.0562753
2009m10,.5446496
2009m11,1.105604
2009m12,1.101789
2010m1,.8227645
2010m2,.5933509
2010m3,.5865065
2010m4,.6812648
2010m5,.6239933
2010m6,.2018255
2010m7,-.2749822
2010m8,-.5056903
2010m9,-.3822934
2010m10,-.169542
2010m11,.0497156
2010m12,-.0111763
2011m1,-.2319411
2011m2,-.298865
2011m3,-.3063529
2011m4,-.3624618
2011m5,-.6032482
2011m6,-.9734267
2011m7,-1.178004
2011m8,-1.156886
2011m9,-.8724021
2011m10,-.6864465
2011m11,-.6298051
2011m12,-.7364307
2012m1,-.7774865
2012m2,-.7460209
2012m3,-.6473314
2012m4,-.6088368
2012m5,-.617174
2012m6,-.5343543
2012m7,-.3664126
2012m8,-.5970085
2012m9,-.6920407
2012m10,-.349241
2012m11,.6595857
2012m12,2.043413
2013m1,2.314898
2013m2,1.896503
2013m3,1.607033
2013m4,1.412876
2013m5,.567138
2013m6,-.1454473
2013m7,-.2190445
2013m8,-.0265299
2013m9,.2731194
2013m10,.1012096
2013m11,-.1527244
2013m12,-.40813
2014m1,-.4228971
2014m2,-.4728206
2014m3,-.4351985
2014m4,-.380977
2014m5,-.3574202
2014m6,-.3277425
2014m7,-.1684604
2014m8,.0300965
2014m9,.1750286
2014m10,.205732
2014m11,.1836062
2014m12,.1050543
2015m1,.0378781
2015m2,-.0862881
2015m3,-.0964426
2015m4,-.0358306
2015m5,-.0404986
2015m6,-.0425228
2015m7,-.1852459
2015m8,-.2497761
2015m9,.1031676
2015m10,1.0601
2015m11,2.134057
2015m12,2.120203
2016m1,1.367842
2016m2,.69527
2016m3,.489958
2016m4,.4475392
