date,cat_financial_security
2008m1,.5571094
2008m2,.3279455
2008m3,.1453252
2008m4,-.0351766
2008m5,-.1483129
2008m6,-.1528144
2008m7,-.1855327
2008m8,-.0761654
2008m9,.2876419
2008m10,.4577605
2008m11,.0613713
2008m12,-.2511009
2009m1,-.2212875
2009m2,-.1923461
2009m3,-.1955122
2009m4,-.2935956
2009m5,-.386191
2009m6,-.2415943
2009m7,-.0005451
2009m8,.0803568
2009m9,.1140274
2009m10,.4431736
2009m11,.6809276
2009m12,1.008783
2010m1,1.410425
2010m2,1.505123
2010m3,1.496919
2010m4,1.266646
2010m5,1.129971
2010m6,1.22624
2010m7,1.390439
2010m8,1.366641
2010m9,1.135635
2010m10,.9375831
2010m11,.9367706
2010m12,.9849681
2011m1,.9956237
2011m2,.7465582
2011m3,.5292658
2011m4,.3578568
2011m5,.2615147
2011m6,.4355754
2011m7,.5935611
2011m8,.3779978
2011m9,-.0642688
2011m10,-.3337927
2011m11,-.4106597
2011m12,-.1897178
2012m1,.2642548
2012m2,.3420231
2012m3,.2591949
2012m4,.1449475
2012m5,.0657169
2012m6,.0670445
2012m7,.1847977
2012m8,.2033162
2012m9,.0493657
2012m10,-.0653236
2012m11,-.2747965
2012m12,-.4315314
2013m1,-.2246971
2013m2,-.0100182
2013m3,.0897036
2013m4,.1282549
2013m5,.0655906
2013m6,-.02132
2013m7,-.1494067
2013m8,-.3613788
2013m9,-.3728756
2013m10,-.1709559
2013m11,-.1978463
2013m12,-.3209397
2014m1,-.3050152
2014m2,-.3738223
2014m3,-.410837
2014m4,-.4817187
2014m5,-.510176
2014m6,-.3752974
2014m7,-.2791132
2014m8,-.334721
2014m9,-.41995
2014m10,-.4486251
2014m11,-.4038781
2014m12,-.1325634
2015m1,.2203612
2015m2,.3269861
2015m3,.2441461
2015m4,.0976929
2015m5,.1016299
2015m6,.4939228
2015m7,.8621084
2015m8,.7438498
2015m9,.1820476
2015m10,-.8308887
2015m11,-1.949041
2015m12,-2.803807
2016m1,-3.079453
2016m2,-3.233084
2016m3,-3.087276
2016m4,-2.94772
