region,date,solidarite
Bretagne,2013m1,.63360053
Bretagne,2013m2,.40915877
Bretagne,2013m3,.91673613
Bretagne,2013m4,.42613849
Bretagne,2013m5,.6077196
Bretagne,2013m6,.22646025
Bretagne,2013m7,-2.0730491
Bretagne,2013m8,-1.4983895
Bretagne,2013m9,-.17066227
Bretagne,2013m10,.26590821
Bretagne,2013m11,.67633748
Bretagne,2013m12,-.037695445
Bretagne,2014m1,.63535124
Bretagne,2014m2,.40196073
Bretagne,2014m3,.032310244
Bretagne,2014m4,.44314772
Bretagne,2014m5,-.10078082
Bretagne,2014m6,-.85052925
Bretagne,2014m7,-1.3920588
Bretagne,2014m8,-1.890551
Bretagne,2014m9,-.66832745
Bretagne,2014m10,-.20030366
Bretagne,2014m11,-.50201112
Bretagne,2014m12,.046951249
Bretagne,2015m1,1.4340655
Bretagne,2015m2,.85398853
Bretagne,2015m3,.84819424
Bretagne,2015m4,.1426623
Bretagne,2015m5,-.2821804
Bretagne,2015m6,.37722349
Bretagne,2015m7,-1.3405499
Bretagne,2015m8,-1.2593349
Bretagne,2015m9,.54351485
Bretagne,2015m10,.62320727
Bretagne,2015m11,1.2291464
Bretagne,2015m12,.84890258
Bretagne,2016m1,1.3926305
Bretagne,2016m2,.54545939
Bretagne,2016m3,1.2438561
Bretagne,2016m4,-.05723235
Bretagne,2016m5,-.13492751
Bretagne,2016m6,-.06186717
Bretagne,2016m7,-1.7482611
Bretagne,2016m8,-1.4161127
Bretagne,2016m9,-.33037832
Bretagne,2016m10,.21957657
Bretagne,2016m11,1.3900248
Bretagne,2016m12,-1.0032424
Bretagne,2017m1,.23997632
Bretagne,2017m2,-.41338754
Bretagne,2017m3,.75760937
