region,date,solidarite
Lorraine,2013m1,.34291667
Lorraine,2013m2,-.3062894
Lorraine,2013m3,-.027927589
Lorraine,2013m4,-.17650324
Lorraine,2013m5,.33431879
Lorraine,2013m6,-.069281027
Lorraine,2013m7,-.98008704
Lorraine,2013m8,-.89668345
Lorraine,2013m9,.090420626
Lorraine,2013m10,-.21408485
Lorraine,2013m11,.28386503
Lorraine,2013m12,-.44257146
Lorraine,2014m1,.53016806
Lorraine,2014m2,.42668867
Lorraine,2014m3,-.026200457
Lorraine,2014m4,-.013358245
Lorraine,2014m5,-.30125979
Lorraine,2014m6,-.15699425
Lorraine,2014m7,-.57791674
Lorraine,2014m8,-.44901091
Lorraine,2014m9,.35554075
Lorraine,2014m10,.35848916
Lorraine,2014m11,.27579001
Lorraine,2014m12,-.29315671
Lorraine,2015m1,.21469042
Lorraine,2015m2,.0010961536
Lorraine,2015m3,.37156859
Lorraine,2015m4,.38827705
Lorraine,2015m5,.4472411
Lorraine,2015m6,-.044524968
Lorraine,2015m7,-.51494706
Lorraine,2015m8,-.018823123
Lorraine,2015m9,.70397729
Lorraine,2015m10,.16749927
Lorraine,2015m11,.14900112
Lorraine,2015m12,-.42565823
Lorraine,2016m1,.29006392
Lorraine,2016m2,.55865175
Lorraine,2016m3,.20568889
Lorraine,2016m4,-.1311692
Lorraine,2016m5,.19382262
Lorraine,2016m6,-.29045784
Lorraine,2016m7,-.9566105
Lorraine,2016m8,-.73737085
Lorraine,2016m9,.64316112
Lorraine,2016m10,.48738828
Lorraine,2016m11,.51019883
Lorraine,2016m12,-.33142358
Lorraine,2017m1,-.035165697
Lorraine,2017m2,-.10892065
Lorraine,2017m3,.50184852
