region,date,christianisme
Centre,2013m1,-1.6837076
Centre,2013m2,-.81820238
Centre,2013m3,-.098826885
Centre,2013m4,-1.2382337
Centre,2013m5,-.85226679
Centre,2013m6,-1.601897
Centre,2013m7,-1.7665902
Centre,2013m8,-1.1085618
Centre,2013m9,-1.2020829
Centre,2013m10,-.67689401
Centre,2013m11,-.52360123
Centre,2013m12,.83711612
Centre,2014m1,-.11444462
Centre,2014m2,-.27458259
Centre,2014m3,-.32946995
Centre,2014m4,.89015394
Centre,2014m5,.069493115
Centre,2014m6,-.92862028
Centre,2014m7,-.038736206
Centre,2014m8,-.09504921
Centre,2014m9,-.43552321
Centre,2014m10,-.18765698
Centre,2014m11,.076832943
Centre,2014m12,2.7217135
Centre,2015m1,.77264357
Centre,2015m2,.28753391
Centre,2015m3,1.6624702
Centre,2015m4,1.3886209
Centre,2015m5,.57215279
Centre,2015m6,-.37351775
Centre,2015m7,-.344596
Centre,2015m8,.30632836
Centre,2015m9,-.51580405
Centre,2015m10,-.20569567
Centre,2015m11,-.39013249
Centre,2015m12,1.1146408
Centre,2016m1,.16859433
Centre,2016m2,-.33238512
Centre,2016m3,1.1713793
Centre,2016m4,-.025781931
Centre,2016m5,.35760406
Centre,2016m6,-.80586541
Centre,2016m7,-.22392075
Centre,2016m8,-.24137039
Centre,2016m9,-.38047069
Centre,2016m10,.11602479
Centre,2016m11,.44711739
Centre,2016m12,1.7843633
Centre,2017m1,.15301242
Centre,2017m2,1.7087278
Centre,2017m3,1.8840064
