date,cat_spirituality
2008m1,-.2946457
2008m2,.2978475
2008m3,.5262862
2008m4,.4017086
2008m5,-.105232
2008m6,-.6744656
2008m7,-.7386019
2008m8,-.1586827
2008m9,.6369599
2008m10,.9818028
2008m11,.7314709
2008m12,.2932203
2009m1,.2042491
2009m2,.6346971
2009m3,.9440351
2009m4,.7654142
2009m5,.1752005
2009m6,-.3377313
2009m7,-.3393658
2009m8,.1932286
2009m9,1.060574
2009m10,1.630391
2009m11,1.520345
2009m12,1.229526
2010m1,1.231286
2010m2,1.65357
2010m3,1.950426
2010m4,1.798603
2010m5,1.177291
2010m6,.640819
2010m7,.6794911
2010m8,1.115251
2010m9,1.631671
2010m10,1.668694
2010m11,1.431908
2010m12,.8811476
2011m1,.1623265
2011m2,-.2073425
2011m3,-.3577283
2011m4,-.4717563
2011m5,-.695776
2011m6,-.8677998
2011m7,-.8378296
2011m8,-.4655904
2011m9,.0601819
2011m10,.2996546
2011m11,.1068734
2011m12,-.2200209
2012m1,-.2555186
2012m2,-.0304943
2012m3,-.0374859
2012m4,-.2238155
2012m5,-.726324
2012m6,-1.124318
2012m7,-.9861322
2012m8,-.4129067
2012m9,.0420322
2012m10,.1386769
2012m11,-.0919165
2012m12,-.4197591
2013m1,-.5695427
2013m2,-.5160453
2013m3,-.5771551
2013m4,-.7349213
2013m5,-1.206204
2013m6,-1.493241
2013m7,-1.428347
2013m8,-.8914583
2013m9,-.2575949
2013m10,-.0656662
2013m11,-.2130914
2013m12,-.5106145
2014m1,-.4808965
2014m2,-.2491809
2014m3,-.182877
2014m4,-.4564599
2014m5,-1.008189
2014m6,-1.505461
2014m7,-1.468572
2014m8,-.9718355
2014m9,-.317802
2014m10,-.0220013
2014m11,-.1212801
2014m12,-.3230817
2015m1,-.3414768
2015m2,-.0816827
2015m3,.1236801
2015m4,.0409793
2015m5,-.5754032
2015m6,-1.103649
2015m7,-1.074212
2015m8,-.4860662
2015m9,.1792303
2015m10,.3693931
2015m11,.124426
2015m12,-.2534961
2016m1,-.3369518
2016m2,-.0359223
2016m3,.3634946
2016m4,.843556
