date,cat_housing
2008m1,2.364219
2008m2,1.909908
2008m3,1.476817
2008m4,.9010116
2008m5,.4883549
2008m6,.2925274
2008m7,.0443296
2008m8,-.2574977
2008m9,-.2583692
2008m10,.027149
2008m11,.7231404
2008m12,1.942929
2009m1,2.57927
2009m2,2.532133
2009m3,2.283983
2009m4,1.857942
2009m5,1.501281
2009m6,1.310211
2009m7,1.053032
2009m8,.6213557
2009m9,.241566
2009m10,.0947513
2009m11,.0503459
2009m12,.2248288
2010m1,.4843401
2010m2,.5705527
2010m3,.6620705
2010m4,.8139483
2010m5,1.12941
2010m6,1.616535
2010m7,1.862222
2010m8,1.654173
2010m9,1.090415
2010m10,.5941323
2010m11,.2373063
2010m12,-.0154086
2011m1,-.1211206
2011m2,-.2368713
2011m3,-.3798647
2011m4,-.4504347
2011m5,-.3882284
2011m6,-.1828652
2011m7,.0477223
2011m8,.3323094
2011m9,.3567486
2011m10,.2720506
2011m11,.0111466
2011m12,-.1598188
2012m1,-.0916397
2012m2,-.0569279
2012m3,-.0631432
2012m4,-.0996011
2012m5,-.0831061
2012m6,-.0826967
2012m7,-.2148
2012m8,-.3880823
2012m9,-.5404866
2012m10,-.6310512
2012m11,-.7580396
2012m12,-.762133
2013m1,-.6129024
2013m2,-.4952811
2013m3,-.4035419
2013m4,-.2844913
2013m5,-.2414029
2013m6,-.2164815
2013m7,-.368193
2013m8,-.6287841
2013m9,-.8257588
2013m10,-.977412
2013m11,-1.054397
2013m12,-1.048022
2014m1,-.9528737
2014m2,-.9272725
2014m3,-.9473823
2014m4,-.9468301
2014m5,-.9056783
2014m6,-.8651001
2014m7,-.8840019
2014m8,-.9775046
2014m9,-1.112351
2014m10,-1.207991
2014m11,-1.234509
2014m12,-1.08313
2015m1,-.7877633
2015m2,-.5961003
2015m3,-.5054748
2015m4,-.4908207
2015m5,-.537187
2015m6,-.5191765
2015m7,-.4824562
2015m8,-.5227582
2015m9,-.6857042
2015m10,-.9241582
2015m11,-1.103348
2015m12,-1.068902
2016m1,-.8795518
2016m2,-.7067751
2016m3,-.5836423
2016m4,-.4388715
