region,date,protectionnisme
Pays de la Loire,2013m1,-.14600022
Pays de la Loire,2013m2,.32963496
Pays de la Loire,2013m3,-.16774352
Pays de la Loire,2013m4,-1.0447757
Pays de la Loire,2013m5,-.64287084
Pays de la Loire,2013m6,-.30774096
Pays de la Loire,2013m7,-1.1169543
Pays de la Loire,2013m8,-1.4331099
Pays de la Loire,2013m9,-.65834916
Pays de la Loire,2013m10,.38511369
Pays de la Loire,2013m11,1.3620105
Pays de la Loire,2013m12,-.15940934
Pays de la Loire,2014m1,-.36890128
Pays de la Loire,2014m2,1.1471983
Pays de la Loire,2014m3,-.042083375
Pays de la Loire,2014m4,-.13673654
Pays de la Loire,2014m5,.69278371
Pays de la Loire,2014m6,-.48950711
Pays de la Loire,2014m7,-1.4927545
Pays de la Loire,2014m8,-1.6001666
Pays de la Loire,2014m9,.44499624
Pays de la Loire,2014m10,2.2025914
Pays de la Loire,2014m11,1.0811763
Pays de la Loire,2014m12,-.47160921
Pays de la Loire,2015m1,.1206859
Pays de la Loire,2015m2,-.6011849
Pays de la Loire,2015m3,-.020691885
Pays de la Loire,2015m4,-.0011707805
Pays de la Loire,2015m5,-.14162131
Pays de la Loire,2015m6,.44406065
Pays de la Loire,2015m7,-1.3179241
Pays de la Loire,2015m8,-1.528535
Pays de la Loire,2015m9,-.15894112
Pays de la Loire,2015m10,1.2047635
Pays de la Loire,2015m11,.62240988
Pays de la Loire,2015m12,-.13723677
Pays de la Loire,2016m1,-.035668045
Pays de la Loire,2016m2,.50253248
Pays de la Loire,2016m3,1.1220884
Pays de la Loire,2016m4,-.31669486
Pays de la Loire,2016m5,.32425556
Pays de la Loire,2016m6,.10224408
Pays de la Loire,2016m7,-1.4588639
Pays de la Loire,2016m8,-1.3103734
Pays de la Loire,2016m9,1.0124619
Pays de la Loire,2016m10,1.6805284
Pays de la Loire,2016m11,1.4951539
Pays de la Loire,2016m12,.25110406
Pays de la Loire,2017m1,.74339759
Pays de la Loire,2017m2,.18194984
Pays de la Loire,2017m3,.7152608
