date,cat_summer_leisure
2008m1,-.8392799
2008m2,-.5388298
2008m3,-.1614501
2008m4,.325065
2008m5,.8509431
2008m6,1.201165
2008m7,1.061286
2008m8,.4210457
2008m9,-.3839668
2008m10,-.9730312
2008m11,-1.209405
2008m12,-1.170863
2009m1,-.947506
2009m2,-.6560908
2009m3,-.3075364
2009m4,.1349527
2009m5,.6798607
2009m6,1.08872
2009m7,.9993394
2009m8,.413231
2009m9,-.28703
2009m10,-.6939994
2009m11,-.87159
2009m12,-.7872244
2010m1,-.5103797
2010m2,-.0867118
2010m3,.529201
2010m4,1.257342
2010m5,1.970696
2010m6,2.350819
2010m7,2.062676
2010m8,1.210863
2010m9,.1881404
2010m10,-.6114267
2010m11,-.9816982
2010m12,-.9317177
2011m1,-.7101588
2011m2,-.4453304
2011m3,-.0615748
2011m4,.5696517
2011m5,1.256602
2011m6,1.704958
2011m7,1.585541
2011m8,.9093016
2011m9,.0927672
2011m10,-.6039031
2011m11,-.9570698
2011m12,-1.005589
2012m1,-.8008508
2012m2,-.4396642
2012m3,.0616937
2012m4,.6410629
2012m5,1.219434
2012m6,1.524771
2012m7,1.318613
2012m8,.658269
2012m9,-.1487406
2012m10,-.7639572
2012m11,-1.026057
2012m12,-1.034207
2013m1,-.8470392
2013m2,-.6446714
2013m3,-.3153836
2013m4,.2015909
2013m5,.8044577
2013m6,1.200941
2013m7,1.127852
2013m8,.5357154
2013m9,-.2732513
2013m10,-.8894423
2013m11,-1.160638
2013m12,-1.105723
2014m1,-.906558
2014m2,-.693183
2014m3,-.3943926
2014m4,.0485058
2014m5,.5643969
2014m6,.9282071
2014m7,.8158439
2014m8,.2640221
2014m9,-.4127593
2014m10,-.8934011
2014m11,-1.146774
2014m12,-1.10671
2015m1,-.9011239
2015m2,-.6541433
2015m3,-.2697497
2015m4,.2183938
2015m5,.7176397
2015m6,1.182901
2015m7,1.165195
2015m8,.5678717
2015m9,-.2224313
2015m10,-.8105032
2015m11,-1.130545
2015m12,-1.100168
2016m1,-.8136521
2016m2,-.540713
2016m3,-.3157527
2016m4,-.1359967
