date,cat_civic_engagement
2011m1,1.559425
2011m2,1.42018
2011m3,1.241848
2011m4,1.089818
2011m5,.8938318
2011m6,.5254121
2011m7,.2602632
2011m8,.255822
2011m9,.5410879
2011m10,.9786021
2011m11,1.257838
2011m12,1.20805
2012m1,1.157155
2012m2,1.158336
2012m3,1.04712
2012m4,.9848354
2012m5,.8851563
2012m6,.5875093
2012m7,.3452604
2012m8,.377931
2012m9,.6924071
2012m10,1.075976
2012m11,1.212453
2012m12,1.188504
2013m1,1.378128
2013m2,1.487888
2013m3,1.36047
2013m4,1.182795
2013m5,.8295602
2013m6,.1270795
2013m7,-.6988019
2013m8,-1.09035
2013m9,-1.103385
2013m10,-.9781048
2013m11,-.9113006
2013m12,-.8387415
2014m1,-.7327664
2014m2,-.6985089
2014m3,-.7581739
2014m4,-.8309754
2014m5,-.9817725
2014m6,-1.210541
2014m7,-1.319866
2014m8,-1.269768
2014m9,-1.097036
2014m10,-1.000219
2014m11,-.9885241
2014m12,-.9702047
2015m1,-.8597736
2015m2,-.7565205
2015m3,-.6749788
2015m4,-.5358413
2015m5,-.4337662
2015m6,-.4958294
2015m7,-.6334792
2015m8,-.7159368
2015m9,-.7167655
2015m10,-.8200691
2015m11,-.9203976
2015m12,-.8705984
2016m1,-.7143461
2016m2,-.6160004
2016m3,-.5660303
2016m4,-.5013711
