region,date,valeurs_république
Rhone-Alpes,2013m1,-.22721019
Rhone-Alpes,2013m2,-.46133024
Rhone-Alpes,2013m3,-.30234015
Rhone-Alpes,2013m4,-.50731522
Rhone-Alpes,2013m5,-.49488226
Rhone-Alpes,2013m6,-.90627289
Rhone-Alpes,2013m7,-1.6738873
Rhone-Alpes,2013m8,-1.8896232
Rhone-Alpes,2013m9,.21914375
Rhone-Alpes,2013m10,-.24239513
Rhone-Alpes,2013m11,.12334253
Rhone-Alpes,2013m12,-.91373003
Rhone-Alpes,2014m1,.28404611
Rhone-Alpes,2014m2,.40902573
Rhone-Alpes,2014m3,.18897335
Rhone-Alpes,2014m4,-.59084177
Rhone-Alpes,2014m5,-.81010628
Rhone-Alpes,2014m6,-.56418091
Rhone-Alpes,2014m7,-1.4174092
Rhone-Alpes,2014m8,-1.4586558
Rhone-Alpes,2014m9,.33626252
Rhone-Alpes,2014m10,-.039360054
Rhone-Alpes,2014m11,.53983676
Rhone-Alpes,2014m12,-.13240652
Rhone-Alpes,2015m1,1.6775669
Rhone-Alpes,2015m2,.26346827
Rhone-Alpes,2015m3,.12590715
Rhone-Alpes,2015m4,.072050683
Rhone-Alpes,2015m5,.3424471
Rhone-Alpes,2015m6,-.26927695
Rhone-Alpes,2015m7,-1.2787718
Rhone-Alpes,2015m8,-.94575447
Rhone-Alpes,2015m9,.81672388
Rhone-Alpes,2015m10,.66360778
Rhone-Alpes,2015m11,2.7693729
Rhone-Alpes,2015m12,1.2710241
Rhone-Alpes,2016m1,1.3621833
Rhone-Alpes,2016m2,.25157768
Rhone-Alpes,2016m3,.49639782
Rhone-Alpes,2016m4,.051378131
Rhone-Alpes,2016m5,.48739204
Rhone-Alpes,2016m6,.13918145
Rhone-Alpes,2016m7,-1.3736869
Rhone-Alpes,2016m8,-1.4242573
Rhone-Alpes,2016m9,.76220989
Rhone-Alpes,2016m10,.89137924
Rhone-Alpes,2016m11,1.1185404
Rhone-Alpes,2016m12,.40337652
Rhone-Alpes,2017m1,.52322286
Rhone-Alpes,2017m2,.19615354
Rhone-Alpes,2017m3,1.6695796
